Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
person who teaches	مُعَلِّم مُعَلِّمَة مُدَرِّس مُدَرِّسَة أُسْتَاذ أُسْتَاذَة مدرس خوجه معلم أستاد	teacher	opettaja	δάσκαλος	guru pengajar	先生	教師 教师 老師 老师 教員 教员 師父 师父	n o u n	nauczyciel belfer	professor docente	учитељ васпитач наставник učitelj vaspitač nastavnik	učítelj	maestro profesor	ครู	None	noun
living being	مَخْلُوق كَائِن كَائِن حَيّ	creature	olio olento	πλάσμα δημιούργημα	makhluk	生き物	生物	n o u n	istota stworzenie stwór	criatura	би́ће ство̏р створе́ње bíće stvȍr stvorénje	stvor	None	สัตว์	None	noun
to mix	None	blend	sekoittaa	None	mencampur	混ぜる	None	v e r b	None	misturar	None	zmešati	mezclar combinar	None	None	verb
colloquial: man	None	dude	jätkä hemmo tyyppi heppu heebo jäbä jäpikäs kaveri äijä	τύπος	bung	やつ	家伙 小伙子	n o u n	koleś gość gościu gostek typek ziomek ziomal zią gościara kolesiówna typiara facet facio ziomuś chłop	cara tipo	None	None	mae tío bato compay	None	None	noun
colloquial: term of address for a young man	None	dude	äijä kaveri jätkä jäbä	None	bung	おす	伙計 伙计 老兄	n o u n	koleś koleżka ziomek typek stary chłop	cara tipo pá	None	None	compadre colega flaco güey mano parce tío mae maje marica	None	None	noun
action or process of making goods systematically or on a large scale	None	manufacture	None	None	manufaktur	None	None	n o u n	manufaktura	None	None	None	None	None	None	noun
Thai greeting	None	wai	None	None	sembah	ワイ	None	n o u n	None	None	None	None	None	ไหว้	None	noun
information	بَيَانَات مَعْلُومَات مُعْطَيَات	data	tieto	δεδομένα	informasi	統計 情報 データ	數據 数据 資料 资料	n o u n	dane	dados	податци подаци podatci podaci	podatek	datos	ข้อมูล	None	noun
professional who counsels people	None	counselor	neuvoja	None	konselor	相談役 カウンセラー	顧問 顾问	n o u n	None	None	None	None	None	None	None	noun
occupation for which a person is suited	حِرْفَة مِهْنَة مهنة	vocation	ammatti	επάγγελμα	vokasi	天職	職業 职业	n o u n	powołanie posłannictwo	vocação	None	None	profesión	None	None	noun
of or relating to a monarch or their family	مَلَكِيّ قَيْصَرِيّ	royal	kuninkaallinen	βασιλικός	kerajaan	王の 王室の	王室的 王的	a d j	królewski	real	кра́љевскӣ ца̑рскӣ králjevskī cȃrskī (related to tsars, tsarist)	kraljev knežji	None	ราช	None	adj
items or material that have been discarded	None	refuse	jäte	απορρίματα	sampah	ごみ	垃圾	n o u n	odrzuty	lixo descartado	None	None	basura desechos	ขยะ	None	noun
(transitive) decline (request, demand)	رَفَضَ أَبَى	refuse	kieltää	αρνούμαι	menolak	断る 拒む 否む	拒絕 拒绝 回絕 回绝	v e r b	odrzucać	recusar	о̀дбити òdbiti	None	rehusar	ปฏิเสธ	None	verb
(intransitive) decline a request or demand	رَفَضَ	refuse	None	αρνούμαι	menolak	断る	拒絕 拒绝	v e r b	odmówić	recusar	None	None	refusar	None	None	verb
to remain stationary or float in the air	حَامَ	hover	leijailla leijua lekuttaa lekutella	αιωρούμαι αλαφροζυγιάζομαι	layang	None	翱翔 高飛 高飞 懸停 悬停 㝼	v e r b	zawisać zawisnąć	pairar	лѐбдети лѐбдјети lèbdeti lèbdjeti	None	cerner cernerse levitar revolotear volar	ร่อน	None	verb
privileged, specially selected	None	select	None	None	tertentu	None	特定	a d j	None	seleto selecionado	None	None	None	None	None	adj
of high quality; top-notch	None	select	None	None	pilihan	None	精选	a d j	None	seleto	None	None	selecto	None	None	adj
to choose one or more elements from a set	اِخْتَارَ اختار	select	valita	None	memilih pilih	選ぶ	選 选 挑選 挑选 選拔 选拔	v e r b	wybierać wybrać selekcjonować	escolher selecionar optar por seletar	None	None	seleccionar	คัดเลือก	None	verb
ideology	مَارْكْسِيَّة	conformity Marxism white supremacy	konformismi marxismi marxilaisuus valkoinen ylivalta	μαρξισμός	marxisme	マルクス主義	馬克思主義 马克思主义 白人優越主義 白人优越主义 白人至上主義 白人至上主义	n o u n	marksizm biała supremacja	marxismo	марксѝзам marksìzam	marksizem	supremacía blanca	ลัทธิมาร์กซ	None	noun
in an exact manner	بِالضَّبْط تَمَامًا	exactly	täsmälleen tarkasti tarkalleen tarkkaan täsmällisesti tasan	None	tepat	正確に	恰恰	a d v	dokładnie ściśle precyzyjnie	exatamente	тачно точно tačno točno	None	exactamente	None	None	adv
equality, comparability	None	parity	vastaavuus	None	paritas kesepadanan kesamaan	None	None	n o u n	None	paridade	None	None	paridad	None	None	noun
the number of times a sow has farrowed	None	parity	None	None	paritas	None	胎次	n o u n	None	número de parições	None	None	None	None	None	noun
incorporating all data up to the present	None	cumulative	kumulatiivinen kasaantuva kasautuva	αθροιστικός συσσωρευτικός	kumulatif	None	漸增的 渐增的 積蓄的 积蓄的 累計的 累计的 累積的 累积的	a d j	narastający	cumulativo	None	None	acumulativo	None	None	adj
system for transferring messages from one computer to another	بَرِيد إِلِكْتْرُونِيّ إِيمَيْل إيميل	email	sähköposti s-posti sposti säpo säpö meili	ηλεκτρονικό ταχυδρομείο ηλ. ταχ.	surel posel pos-el	電子メール Eメール イーメール メール	電子郵件 电子邮件 電郵 电邮	n o u n	e-mail mejl poczta elektroniczna	correio eletrónico correio eletrônico	е-пошта имејл електронска пошта e-pošta elektronska pošta	None	correo electrónico correo	None	None	noun
guardian of goal	None	keeper	maalivahti	None	kiper	キーパー	None	n o u n	None	goleiro	None	None	None	None	None	noun
verification	None	confirmation	vahvistus	None	konfirmasi	None	None	n o u n	potwierdzenie	confirmação	None	None	confirmación	None	None	noun
Christian ceremony or sacrament	None	confirmation	konfirmaatio	None	krisma penguatan	堅信 堅信礼	堅信禮 坚信礼	n o u n	bierzmowanie	crisma confirmação	None	None	confirmación	None	None	noun
to pass through the pores or interstices of; to penetrate and pass through without causing rupture or displacement	None	permeate	None	None	tembus	染み込む	滲透 渗透	v e r b	None	permear	None	None	percolar	None	None	verb
arrow container	جَعْبَة	quiver	nuolikotelo viini	φαρέτρα	tarkas	矢筒	箭圖 箭图 箭袋 一袋箭 箭筒 箙	n o u n	kołczan	aljava fáretra carcás	то̀болац tòbolac	tul	aljaba carcaj goldre	แล่ง	None	noun
room(s) or building used for non-manual work	مَكْتَب مكتب	office	toimisto virasto konttori liikehuoneisto toimipaikka	γραφείο	kantor biro	オフィス 執務室 事務室	辦公室 办公室 事務所 事务所	n o u n	biuro	escritório	канцела̀рија посло́вница пѝса̄рница у́ред бѝро̄ kancelàrija poslóvnica pìsārnica úred bìrō	pisarna	oficina sede	สำนักงาน	None	noun
title	عُنْوَان آنِسَة	heading Ms Miss	otsikko neiti (Nti)	επικεφαλίδα τίτλος Δις Δδα δεσποινίδα δεσποινίς μις	nona	見出し 表題 お嬢さん お嬢様 -さん	標題 标题 題目 题目 小姐	n o u n	nagłówek rubryka panna panienka	cabeçalho manchete senhorita	на́слов náslov го̏спођица гђица gȍspođica gđica	naslov gospodična	señorita	นางสาว	None	noun
building in which plants are grown more quickly than outside	دَفِيئَة زِرَاعِيّة	greenhouse	kasvihuone	θερμοκήπιο	rumah kaca	ハウス	溫室 温室	n o u n	szklarnia	viveiro estufa	стакленик staklenik	None	invernadero invernáculo	เรือนกระจก	None	noun
to speak unintelligibly	None	gibber mumble	mumista mutista mongertaa	None	bergumam	呟く 囁く	咕噥 咕哝	v e r b	mamrotać	murmurar	None	None	mascullar mascujar susurrar	None	None	verb
one of the choices that can be made	خِيَار m اِخْتِيَار	option	vaihtoehto	επιλογή προαίρεση εκλογή	pilihan opsi	選択 オプション 選択肢	選擇 选择	n o u n	opcja	opção	о̀пција òpcija	možnost	opción alternativa	ตัวเลือก	None	noun
financial product	None	option	optio	None	opsi	None	期權 期权	n o u n	opcja	None	о̀пција òpcija	None	opción financiera opciones	None	None	noun
phrase which is difficult to say	تَنَافُر	tongue-twister	kielivoimisteluloru sanahirviö	γλωσσοδέτης	pembelit lidah	早口言葉	繞口令 绕口令 拗口令	n o u n	łamaniec językowy łamaniec	trava-língua trava-línguas	бр̀залица br̀zalica	None	trabalenguas	None	None	noun
to exercise sovereign authority in	حَكَمَ تَحَكَّمَ مَلَكَ حكم	govern	hallita	κυβερνώ	memerintah	支配する 統治する	治理 治 統治 统治	v e r b	rządzić władać	governar	у̀прављати вла́дати ùpravljati vládati	vladati	gobernar	ปกครอง	None	verb
process by which a planet is warmed by its atmosphere	اَلاِحْتِبَاس اَلْحَرَارِيّ	greenhouse effect	kasvihuoneilmiö	φαινόμενο του θερμοκηπίου	efek rumah kaca	温室効果	溫室效應 温室效应	n o u n	efekt cieplarniany	efeito estufa	None	None	efecto invernadero	ภาวะเรือนกระจก ปรากฏการณ์เรือนกระจก	None	noun
state of progression from one place to another	حَرَكَة	motion	liike	κίνηση	gerakan	動き	動作 动作 運動 运动	n o u n	ruch	movimento	кре́та̄ње ги́ба̄ње krétānje gíbanje	gibanje	movimiento	การเคลื่อนที่	None	noun
parliamentary proposal	None	motion	aloite	πρόταση	mosi	動議 提案	None	n o u n	None	moção	None	None	moción	None	None	noun
a Chinese district outside China	حَيّ صِينِي تْشَايْنَاتَاوْن	Chinatown	kiinalaiskortteli	None	pecinan	中華街 チャイナタウン	唐人街 華埠 华埠 中國城 中国城 牛車水 牛车水	n o u n	chińska dzielnica	None	кинеска четврт чајнатаун kineska četvrt čajnataun	None	barrio chino	ไชน่าทาวน์	None	noun
excluding items or members that do not meet certain conditions	None	exclusive	poissulkeva eksklusiivinen	αποκλειστικός	eksklusif	None	獨家 独家	a d j	ekskluzywny wyłączny	exclusivo	None	None	None	None	None	adj
of high quality and/or renown	None	exclusive	eksklusiivinen	None	eksklusif	None	None	a d j	ekskluzywny	exclusivo	None	None	None	None	None	adj
to remove a fruit or plant for consumption	None	pick	poimia	None	petik memetik	摘む	摘	v e r b	zrywać zbierać	colher	None	None	recoger	None	None	verb
great anger	غَضَب سَخَط قَهْر غَيْظ	ire wrath	viha raivo	οργή θυμός	murka	怒り 激怒	憤怒 愤怒	n o u n	wściekłość furia gniew złość	ira cólera	гне̑в гње̑в ср̀џба ср̀дито̄ст gnȇv gnjȇv sr̀džba sr̀ditōst	gnev bes	None	ความโกรธ ความโมโห โทสะ ความโกรธเคือง วิโรธ	None	noun
an instantaneous attraction	اَلْحُبّ مِن اَلنَّظْرَة اَلْأُولَى	love at first sight	rakkaus ensi silmäyksellä	κεραυνοβόλος έρωτας	cinta pada pandangan pertama	一目惚れ	一見鍾情 一见钟情 一見傾心 一见倾心 一見生情 一见生情	n o u n	miłość od pierwszego wejrzenia	amor à primeira vista	љубав на први поглед ljubav na prvi pogled	ljubezen na prvi pogled	flechazo amor a primera vista	รักแรกพบ	None	noun
someone excluded from a society or system, a pariah, a leper	مَنْبُوذ مَنْبُوذَة	outcast	hylkiö paaria hyljeksitty henkilö	None	paria	のけ者	被放逐者 被逐出	n o u n	wyrzutek parias trędowaty	deslocado deslocada excluído excluída pária	None	None	apestado apestada proscrito proscrita marginado marginada leproso	None	None	noun
capital of Babylonia	بَابِلُ	Babylon	Babylonia	Βαβυλώνα	Babel	バビロン	巴比倫 巴比伦	n a m e	Babilon	Babilônia Babilónia	Бабилон Bȁbilon	None	Babilonia	บาบิโลน	None	name
that continues over an extended period of time	None	chronic	None	None	kronis	慢性的	None	a d j	chroniczny	crónico	None	None	None	None	None	adj
medical: prolonged or slow to heal	None	chronic	None	None	kronis	慢性的	慢性	a d j	przewlekły chroniczny	crónico	None	None	None	None	None	adj
suffering from an affliction that is prolonged or slow to heal	None	chronic	None	None	kronis	None	None	a d j	None	crónico	None	None	None	None	None	adj
public sales event	مَزَاد مُزَايَدَة مزاد	auction	huutokauppa	δημοπρασία πλειστηριασμός	lelang	競売 競 オークション	拍賣 拍卖 競賣 竞卖 競拍 竞拍	n o u n	aukcja licytacja	leilão	ау̀кција aùkcija	dražba	subasta remate almoneda	ขายทอดตลาด	None	noun
guided visit	None	tour	kiertokäynti opastettu kierros	περιήγηση ξενάγηση	tur	None	None	n o u n	None	excursão	None	None	None	ทัวร์	None	noun
journey through given list of places	None	tour	kiertue	περιοδεία	tur	None	None	n o u n	None	turnê	turneja	None	gira	None	None	noun
journey	رِحْلَة جَوْلَة جولة سَفَر سَيَاحَة رحلة	tour trip	matka kiertoajelu kiertokäynti ekskursio retki	περιοδεία ταξίδι	tur perjalanan	旅 ツアー	旅游 旅行 旅途 旅程 旅遊	n o u n	podróż wycieczka	passeio viagem	путова́ње putovánje	potovanje	recorrido	ทัวร์	None	noun
