Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
sunat yang	None	None	None	obreza	None	circuncisão	None	None	None	None	None	None
sunyi sepi	None	None	None	puščavo	autioksi	desolados	None	spustoszenie	ερημωθη	荒涼	None	desolación
suruhlah orang	None	None	None	pošlji	None	envia	None	poślij	πεμψον	None	None	None
susah payah	None	None	None	težavo	vaivoin	None	None	None	None	None	difficulty	None
syukur kepada Allah	None	None	None	zahvali	siunasi	graças	None	None	ευχαριστησεν	None	None	None
tahu segalanya	None	None	None	sejo	None	None	None	None	None	None	None	None
tahukah	None	None	None	veš	None	sabes	None	wiesz	γνωριζεις τι	知 道 這 是	Knowest	sabes
tahun kedua puluh tujuh	None	None	None	sedemindvajsetem	None	None	None	None	None	None	None	None
tahun lamanya	None	None	None	let	None	anos	None	None	None	年	None	None
tak usah kita	None	None	None	molčite	None	None	None	None	None	None	None	None
takkan	None	None	None	prebudite in ne	None	None	None	None	None	None	stir not	despertaréis ni
tamariska	None	None	None	tamarisko	tamariskipuun	tamargueira	None	None	None	垂 絲	tamarisk	tamarisco
tanah Sikhem	None	None	None	Sihem	None	None	None	None	None	None	None	None
tanggal dua puluh empat	None	None	None	štiriindvajseti	None	None	None	None	None	None	None	None
tanggal lima	None	None	None	petnajsti	None	None	None	None	None	None	None	None
tanggal tiga	None	None	None	trinajsti	None	None	None	None	None	None	None	None
tanya Batsyeba	None	None	None	Govóri	None	None	None	None	None	None	None	None
tekun	None	None	None	stanovitni	None	perseverança	None	None	υπομονης	恆心	prolong his	perseverancia
temannya	None	None	None	prijatelji	ystävilleen	seus amigos	None	None	φιλοι	朋友 亞杜蘭人	of his friend	sus amigos
tempat istirahat	None	None	None	pokoja	lepoa	repouso	None	odpocznienia	None	None	None	None
tempat lain	None	None	None	drugje	None	None	None	None	None	別處	None	None
tempat pemerasan anggur	None	None	None	tlačilnici	None	None	None	None	None	None	None	None
tempat pengirikan gandum milik	None	None	None	gumnu	None	None	None	None	None	None	None	None
tengah jalan	None	None	None	poti	None	None	None	drodze	None	路上	None	None
tengoklah	None	None	None	glejte	katsokaa	None	None	None	None	None	None	None
tentang Aku	None	None	None	zame	None	None	None	None	None	None	None	None
tentang yang baik	None	None	None	dobrega	None	None	None	None	None	None	None	None
tentara Siria	None	None	None	Sirci	aramilaisten	None	None	Syryjczycy	None	亞蘭人	None	None
tepi Lembah	None	None	None	bregu	None	None	None	None	None	None	None	None
tepi Sungai Yordan	None	None	None	Jordanu	None	None	None	None	None	None	None	None
terang itu masih	None	None	None	luč	None	None	None	None	None	None	None	None
terang itu	None	None	None	luč	None	None	None	światłość	None	None	None	None
terang mengenai	None	None	None	učiš	None	None	None	None	None	None	None	None
terangnya	None	None	None	luč	valon	None	None	None	None	亮光	None	None
terbongkar	None	None	None	prišlo na svetlo	None	None	None	jaw	φανερον	None	come abroad	None
tercatat	None	None	None	vpisano	None	None	None	None	καταγεγραμμενοι	None	were written	contados
terdapat ajaran seperti	None	None	None	rečeno	None	None	None	None	None	None	None	None
tergoyahkan	None	None	None	gane	horju	ser abalado	None	poruszył	σαλευθη	不得動搖	moved	será movido
terhadap Yerikho	None	None	None	Jerihu	None	None	None	None	None	None	None	None
terhadap tentara Siria	None	None	None	Sirci	None	None	None	Syryjczycy	None	亞蘭人	None	None
terhalang	None	None	None	oviralo	None	None	None	None	None	None	None	None
terhina	None	None	None	najmanjših	None	None	None	None	None	None	None	None
terjerumus	None	None	None	spotiko	None	None	None	None	None	陷 於	stumblingblock	None
terlalu	None	None	None	preveč	liian	demais	None	None	παραπολυ	太	too	demasiado
terlepas	None	None	None	premakne	None	None	None	None	None	脫	None	None
termasuk kuncup	None	None	None	glavice	None	None	None	None	None	None	None	None
termasyhur itu	None	None	None	sloveče	None	None	None	None	None	None	None	None
tersenyum	None	None	None	obraz	None	None	None	None	None	None	None	None
tertanam	None	None	None	zasajena	None	None	None	None	None	None	None	None
tertangkap	None	None	None	ujame	None	apanhado	None	zastaną	πιασθη	被 捉	is found	sorprendido
tertawaan	None	None	None	zasmeh	None	None	None	None	None	None	None	None
tertimpa	None	None	None	trpeti	saavat vahingon	None	None	None	None	受 害	suffer for	None
tertinggal	None	None	None	ostalo	None	None	None	None	None	None	None	None
tertinggi	None	None	None	najvišje	None	None	None	None	None	None	None	alto
tertulis dalam	None	None	None	izpolni	None	None	None	None	None	None	None	None
tetap najis	None	None	None	nečist	None	None	None	None	None	必不潔淨	None	None
tetap setia	None	None	None	zvesto	uskollisesti	None	None	None	None	專	None	None
tetapi orang bijaksana	None	None	None	modri	None	None	None	None	None	None	None	None
tetapi tak	None	None	None	brezhibno	None	None	None	None	None	None	None	None
tiap	None	None	None	vsakega	None	None	None	None	None	賠 一	of every	None
tidak mempunyai	None	None	None	nimajo	None	None	None	None	None	None	None	None
tiga puluh tiga	None	None	None	triintrideset	None	None	None	None	None	None	None	None
tiga ratus	None	None	None	tristo	kolmesataa	trezentos	None	trzysta	τριακοσια	三百	None	None
timur Sungai Yordan	None	None	None	Jordanom	None	None	None	Jordanem	None	None	None	None
tolak	None	None	None	zavrgli	None	None	None	wzgardzili	None	肯 受 我 的	rejected	None
tua mereka	None	None	None	očete	None	None	None	None	None	None	None	None
tuanmu Saul	None	None	None	gospodarja	None	None	None	None	None	None	None	None
tugasnya	None	None	None	službe	None	seus cargos	None	None	None	None	None	deberes
tujuh belas	None	None	None	sedemnajst	seitsemäntoista	None	None	None	δεκαεπτα	十七	seventeen	None
tujuh ekor	None	None	None	sedem	None	sete	None	siedem	None	None	None	None
tujuh kali	None	None	None	sedemkrat	None	None	None	None	επτακις	None	None	None
tukang pikul	None	None	None	nosijo	None	None	None	None	None	挑	None	None
tulislah begini	None	None	None	piši	None	escreve	None	None	None	寫信	None	None
tunggangan	None	None	None	jezdili	ratsastivat	None	None	None	None	None	colts	None
tunggangi	None	None	None	jezdil	None	None	None	None	None	None	ride	None
turut menderita	None	None	None	trpljenja	None	None	None	None	None	None	None	None
turuti	None	None	None	izpolnjeval	noudattanut	guardado	None	None	None	None	None	guardado
uang emas yang Tuan berikan itu	None	None	None	mošnja	None	None	None	None	None	None	None	None
uang emas	None	None	None	mošnja	leiviskän	None	None	grzywien	None	賺	pounds	mina
uang kepada	None	None	None	denarja	None	None	None	None	None	None	None	None
uang perak itu	None	None	None	srebrnikov	None	None	None	None	None	None	None	None
ukiran	None	None	None	izrezljane	veistoksia	None	None	rzezania	None	雕刻	the ledges were	talló
ulang	None	None	None	rojstva	None	natalício	None	narodzenia	None	None	None	None
ular berbisa	None	None	None	gad	None	None	None	None	None	咬	viper	None
umat manusia	None	None	None	ljudstvi	None	None	None	None	None	血氣	None	mortal
umban	None	None	None	pračo	None	None	None	None	None	甩 石 的	sling	honda
umumkan	None	None	None	razglasite	None	None	None	None	None	None	publish	None
untuk harta benda	None	None	None	mamonu	mammonaa	None	None	None	None	奉瑪門	mammon	None
untuk memberi dorongan	None	None	None	mnogimi	None	None	None	None	None	None	None	None
untuk memilih	None	None	None	izvoliti	None	None	None	None	None	None	None	None
upacara penyucian	None	None	None	poravnavo	None	None	None	None	None	潔淨	None	None
upah yang	None	None	None	plačilo	None	None	None	None	None	們的賞賜	None	None
urat	None	None	None	kitami	None	nervos	None	None	νευρα	筋	will lay sinews	tendones
usus	None	None	None	črevih	None	None	None	None	None	糞	dung	None
wafat	None	None	None	mrtev	None	None	None	None	None	None	the death	None
wajahmu	None	None	None	obraz	None	None	None	None	None	None	your faces	None
waktu dua	None	None	None	dveh	None	None	None	None	None	None	None	None
waktu enam	None	None	None	šestih	None	None	None	None	None	None	None	None
waktu pagi	None	None	None	zjutraj	aamulla	manhã	None	poranku	None	早晨	None	None
waktu perayaan	None	None	None	praznik	None	None	None	None	None	None	None	None
waktu siang	None	None	None	dnevi	None	None	None	dnie	None	日間	None	None
waktu sore	None	None	None	večeru	illalla	None	None	None	None	None	None	None
wanita yang mau	None	None	None	porodnico	None	None	None	rodzącą	None	None	None	None
warisnya	None	None	None	dedič	None	herdeiro	None	dziedzic	κληρονομος ελθετε	產業 的	heir	heredero
wilayah Benyamin	None	None	None	Benjaminovi	Benjaminissa	None	None	None	None	None	None	None
wilayah Gozan	None	None	None	Gozanu	None	None	None	None	None	None	None	None
wilayah Yehuda	None	None	None	Judovem	None	None	None	None	None	None	None	None
wilayah suku	None	None	None	rodu	None	None	None	None	None	支派	None	None
wol biru	None	None	None	blago	None	azul	None	hijacyntu	κυανουν	藍色	None	None
yaitu Azarya	None	None	None	Azarija	None	Azarias	None	None	None	None	None	None
yaitu Er	None	None	None	Ger	None	Er	None	None	None	None	None	None
yaitu Simon	None	None	None	Simona	None	None	None	None	None	None	None	None
yaitu Yakub	None	None	None	Jakoba	None	None	None	None	None	None	None	None
yang berzinah	None	None	None	prešeštnike	None	None	None	None	None	None	None	None
yang bukan Yahudi	None	None	None	poganom	None	None	None	None	None	None	None	None
yang bungsu	None	None	None	najmlajši	None	None	None	None	None	None	None	None
yang dianggap hina	None	None	None	grešnike	None	None	None	None	None	None	None	None
yang durhaka	None	None	None	prepirov	None	None	None	None	None	None	None	None
yang kaulihat	None	None	None	vidiš	None	None	None	widzisz	None	None	None	None
yang kaya	None	None	None	bogati	rikkaita	ricos	None	opływającej	ρεουσαν	富足	None	None
yang kedelapan ia	None	None	None	osmi	None	None	None	None	None	None	None	None
yang ketiga	None	None	None	tretjega	kolmanteen	terceiro	None	trzeci	τριτης	第三	None	None
yang ketujuh	None	None	None	sedmega	seitsemäs	sétimo	None	siódmego	εβδομη	第七	None	None
yang mekar	None	None	None	cvetje	muotoinen	None	None	None	None	None	None	None
yang memberi kehidupan kepada	None	None	None	duhov	None	None	None	None	None	萬人之靈	None	None
yang memerlukan keahlian	None	None	None	umetnine	None	None	None	None	None	None	None	None
yang menerima	None	None	None	sprejme	None	None	None	None	δεχθη	None	None	None
yang menganggap dirinya sudah baik	None	None	None	pravičnih	None	None	None	None	δικαιους	None	None	None
yang mensahkan	None	None	None	nove	None	None	None	None	None	None	None	None
yang meremehkan	None	None	None	zaničuje	None	None	None	None	None	None	None	None
yang najis	None	None	None	nečistega	saastaiseen	imunda	None	nieczystego	ακαθαρτου	None	None	None
yang pulang ke negerinya	None	None	None	štel	None	None	None	None	None	None	None	None
yang telah dipersembahkan kepada	None	None	None	žrtve	uhrattua	None	None	None	None	None	None	None
yang terkecil	None	None	None	najmanjši	vähäisin	None	None	None	None	None	None	None
yang tertulis dalam	None	None	None	izpolni	None	None	None	None	None	None	None	None
zaman yang akan datang	None	None	None	prihodnjem	None	None	None	None	None	None	None	None
tawaran itu	None	None	None	None	Aasaa	None	None	None	None	None	None	None
Abdi	None	None	None	None	Abdin	Abdi	None	None	Αβδι	伯 底	of Abdi	Abdi
Dalam kesesakanku	None	None	None	None	Ahdistuksessani	None	None	None	None	None	None	None
menentukan waktu	None	None	None	None	Aika	None	None	Czas	None	None	None	None
Ternak	None	None	None	None	karjan	o gado	None	bydło	κτηνη	None	None	None
air di	None	None	None	None	Alalähteet	None	None	None	None	None	None	None
kaki pegunungan	None	None	None	None	Alankomaan	None	None	None	None	高原	None	None
daerah kaki	None	None	None	None	Alankomaan	None	None	None	None	None	None	None
Pada mulanya	None	None	None	None	Alussa	None	None	None	None	None	None	None
Amitai	None	None	None	None	Amittain	Amitai	None	None	None	亞米 太	of Amittai	de Amitai
Amihud	None	None	None	None	Ammihudin	Amiúde	None	Ammiuda	Αμμιουδ	米 忽	None	Amihud
Di dalam Peti Perjanjian	None	None	None	None	Arkissa	None	None	None	None	None	None	None
Asaya ajudan	None	None	None	None	Asajaa	None	None	None	None	None	None	None
Asybel	None	None	None	None	Asbel	Asbel	None	Asbel	Ασβηλ	亞 實 別	Ashbel	Asbel
suku Asyer	None	None	None	None	Asserista	Aser	None	Aser	None	亞設	None	None
ke Asyur	None	None	None	None	Assuriin	None	None	None	None	None	None	None
diangkut ke negeri	None	None	None	None	Baabeliin	None	None	None	None	None	None	None
Kaum Bani	None	None	None	None	Baanin	None	None	None	None	巴尼	None	None
masa bangsa Israel	None	None	None	None	Babyloniin	None	None	None	None	None	None	None
di Betania	None	None	None	None	Betaniassa	None	None	None	None	None	None	None
Buki	None	None	None	None	Bukki	Buqui	None	None	Βουκκι	布 基	the son of Bukki	Buqui
Disyon	None	None	None	None	Diison	None	None	None	None	底順	None	None
ke Mesir	None	None	None	None	Egyptiin	None	None	None	None	None	None	None
di Mesir	None	None	None	None	Egyptissä	None	None	None	None	None	None	None
dari Mesir	None	None	None	None	Egyptistä	None	None	None	None	None	None	None
kepada Mesir	None	None	None	None	Egyptiä	None	None	None	None	None	None	None
Bahwa	None	None	None	None	Ei kaiketi	None	None	None	None	None	None	None
Tak	None	None	None	None	Ei	None	None	None	None	None	None	None
Belukar berduri tidak	None	None	None	None	Eihän	None	None	None	None	None	None	None
Tidakkah	None	None	None	None	Eiköhän	None	None	None	None	None	None	None
untuk Elia	None	None	None	None	Eliaalle	None	None	None	None	為以利亞	None	None
berkata Elia	None	None	None	None	Eliaan	None	None	Elijaszem	None	None	None	None
kepada Elia	None	None	None	None	Elialle	None	None	None	None	None	None	None
Elimelekh	None	None	None	None	Elimelekin	Elimeleque	None	None	Ελιμελεχ	米 勒 的	brother Elimelech	Elimelec
Elisa dan	None	None	None	None	Elisalle	None	None	None	None	None	None	None
Saya tidak	None	None	None	None	En	None	None	None	None	None	None	None
Inilah pesan tentang	None	None	None	None	Ennustus	None	None	Brzemię	None	None	None	None
Inilah pesan Allah	None	None	None	None	Ennustus	None	None	None	None	None	None	None
Yang pertama	None	None	None	None	Ensimmäinen	None	None	None	None	None	None	None
gandum yang pertama	None	None	None	None	Ensimmäisistä	None	None	None	None	None	None	None
